maxfarms, p, zone, weight_z, cell
5, 0.05, 7, 0.2, 5551
5, 0.05, 9, 0.2, 6611
5, 0.05, 14, 0.2, 9239
5, 0.05, 18, 0.2, 10434
5, 0.05, 19, 0.2, 10549
5, 0.1, 7, 0.2, 5551
5, 0.1, 9, 0.2, 6611
5, 0.1, 14, 0.2, 9239
5, 0.1, 18, 0.2, 10434
5, 0.1, 19, 0.2, 10549
5, 0.15000000000000002, 7, 0.2, 5551
5, 0.15000000000000002, 9, 0.2, 6611
5, 0.15000000000000002, 14, 0.2, 9239
5, 0.15000000000000002, 18, 0.2, 10434
5, 0.15000000000000002, 19, 0.2, 10549
5, 0.2, 5, 0.2, 4173
5, 0.2, 9, 0.2, 6611
5, 0.2, 14, 0.2, 9239
5, 0.2, 18, 0.2, 10434
5, 0.2, 19, 0.2, 10549
5, 0.25, 9, 0.2, 6611
5, 0.25, 14, 0.2, 9239
5, 0.25, 18, 0.2, 10434
5, 0.25, 19, 0.2, 10549
5, 0.25, 33, 0.2, 17691
5, 0.30000000000000004, 5, 0.2, 4173
5, 0.30000000000000004, 9, 0.2, 6611
5, 0.30000000000000004, 18, 0.2, 10434
5, 0.30000000000000004, 19, 0.2, 10549
5, 0.30000000000000004, 41, 0.2, 18787
5, 0.35000000000000003, 5, 0.2, 4173
5, 0.35000000000000003, 9, 0.2, 6611
5, 0.35000000000000003, 18, 0.2, 10434
5, 0.35000000000000003, 19, 0.2, 10549
5, 0.35000000000000003, 41, 0.2, 18787
5, 0.4, 1, 0.2, 1724
5, 0.4, 18, 0.2, 10434
5, 0.4, 19, 0.2, 10549
5, 0.4, 33, 0.2, 17691
5, 0.4, 145, 0.2, 67549
5, 0.45, 1, 0.2, 1724
5, 0.45, 18, 0.2, 10434
5, 0.45, 19, 0.2, 10549
5, 0.45, 41, 0.2, 18787
5, 0.45, 145, 0.2, 67549
5, 0.5, 1, 0.2, 1724
5, 0.5, 18, 0.2, 10434
5, 0.5, 19, 0.2, 10549
5, 0.5, 41, 0.2, 18787
5, 0.5, 145, 0.2, 67549
5, 0.55, 1, 0.2, 1724
5, 0.55, 18, 0.2, 10434
5, 0.55, 19, 0.2, 10549
5, 0.55, 41, 0.2, 18787
5, 0.55, 145, 0.2, 67549
5, 0.6000000000000001, 1, 0.2, 1724
5, 0.6000000000000001, 18, 0.2, 10434
5, 0.6000000000000001, 19, 0.2, 10549
5, 0.6000000000000001, 41, 0.2, 18787
5, 0.6000000000000001, 145, 0.2, 67549
5, 0.65, 1, 0.2, 1724
5, 0.65, 19, 0.2, 10549
5, 0.65, 41, 0.2, 18787
5, 0.65, 98, 0.2, 50627
5, 0.65, 145, 0.2, 67549
5, 0.7000000000000001, 1, 0.2, 1724
5, 0.7000000000000001, 19, 0.2, 10549
5, 0.7000000000000001, 41, 0.2, 18787
5, 0.7000000000000001, 98, 0.2, 50627
5, 0.7000000000000001, 145, 0.2, 67549
5, 0.75, 1, 0.2, 1724
5, 0.75, 19, 0.2, 10549
5, 0.75, 41, 0.2, 18787
5, 0.75, 98, 0.2, 50627
5, 0.75, 145, 0.2, 67549
5, 0.8, 1, 0.2, 1724
5, 0.8, 19, 0.2, 10549
5, 0.8, 41, 0.2, 18787
5, 0.8, 98, 0.2, 50627
5, 0.8, 145, 0.2, 67549
5, 0.8500000000000001, 1, 0.2, 1724
5, 0.8500000000000001, 19, 0.2, 10549
5, 0.8500000000000001, 41, 0.2, 18787
5, 0.8500000000000001, 95, 0.2, 48593
5, 0.8500000000000001, 145, 0.2, 67549
5, 0.9, 1, 0.2, 1724
5, 0.9, 19, 0.2, 10549
5, 0.9, 41, 0.2, 18787
5, 0.9, 95, 0.2, 48593
5, 0.9, 145, 0.2, 67549
5, 0.9500000000000001, 1, 0.2, 1724
5, 0.9500000000000001, 19, 0.2, 10549
5, 0.9500000000000001, 41, 0.2, 18787
5, 0.9500000000000001, 95, 0.2, 48593
5, 0.9500000000000001, 145, 0.2, 67549
10, 0.05, 7, 0.2, 5551
10, 0.05, 9, 0.2, 6611
10, 0.05, 14, 0.2, 9239
10, 0.05, 18, 0.2, 10434
10, 0.05, 19, 0.2, 10549
10, 0.1, 7, 0.2, 5551
10, 0.1, 9, 0.2, 6611
10, 0.1, 14, 0.2, 9239
10, 0.1, 18, 0.2, 10434
10, 0.1, 19, 0.2, 10549
10, 0.15000000000000002, 4, 0.06666666666666667, 3997
10, 0.15000000000000002, 7, 0.1333333333333333, 5551
10, 0.15000000000000002, 9, 0.2, 6611
10, 0.15000000000000002, 14, 0.2, 9239
10, 0.15000000000000002, 18, 0.2, 10434
10, 0.15000000000000002, 19, 0.2, 10549
10, 0.2, 4, 0.06666666666666667, 3997
10, 0.2, 5, 0.08333333333333333, 4173
10, 0.2, 9, 0.2, 6611
10, 0.2, 14, 0.2, 9239
10, 0.2, 18, 0.2, 10434
10, 0.2, 19, 0.2, 10549
10, 0.2, 33, 0.05, 17691
10, 0.25, 1, 0.03333333333333333, 1724
10, 0.25, 5, 0.1, 4173
10, 0.25, 9, 0.2, 6611
10, 0.25, 14, 0.15, 9239
10, 0.25, 18, 0.2, 10434
10, 0.25, 19, 0.2, 10549
10, 0.25, 33, 0.08333333333333333, 17691
10, 0.25, 41, 0.03333333333333333, 18787
10, 0.30000000000000004, 1, 0.05, 1724
