maxfarms, p, zone, weight_z, cell
5, 0.05, 4, 0.4, 7545
5, 0.05, 8, 0.2, 9239
5, 0.05, 10, 0.4, 11003
5, 0.1, 4, 0.4, 7545
5, 0.1, 8, 0.2, 9239
5, 0.1, 10, 0.4, 11003
5, 0.15000000000000002, 4, 0.4, 7545
5, 0.15000000000000002, 8, 0.2, 9239
5, 0.15000000000000002, 10, 0.4, 11003
5, 0.2, 4, 0.4, 7545
5, 0.2, 8, 0.1314773709542487, 9239
5, 0.2, 10, 0.4, 11003
5, 0.2, 25, 0.06852262904575127, 18787
5, 0.25, 3, 0.05659898404355243, 6163
5, 0.25, 4, 0.4, 7545
5, 0.25, 10, 0.4, 11003
5, 0.25, 25, 0.1434010159564475, 18787
5, 0.30000000000000004, 3, 0.05, 6163
5, 0.30000000000000004, 4, 0.3366947447863476, 7545
5, 0.30000000000000004, 10, 0.4, 11003
5, 0.30000000000000004, 25, 0.1633052552136523, 18787
5, 0.30000000000000004, 98, 0.05, 67549
5, 0.35000000000000003, 3, 0.08069466626369312, 6163
5, 0.35000000000000003, 4, 0.2433091264128414, 7545
5, 0.35000000000000003, 10, 0.4, 11003
5, 0.35000000000000003, 25, 0.1786601003337731, 18787
5, 0.35000000000000003, 98, 0.09733610698969239, 67549
5, 0.4, 3, 0.1046199647661448, 6163
5, 0.4, 4, 0.1708776857653348, 7545
5, 0.4, 10, 0.4, 11003
5, 0.4, 25, 0.1884447181394164, 18787
5, 0.4, 98, 0.136057631329104, 67549
5, 0.45, 1, 0.1504415940606058, 3419
5, 0.45, 3, 0.07945172532844572, 6163
5, 0.45, 10, 0.4, 11003
5, 0.45, 25, 0.2001928109947128, 18787
5, 0.45, 98, 0.1699138696162357, 67549
5, 0.5, 1, 0.1838804859928857, 3419
5, 0.5, 10, 0.3988180259946819, 11003
5, 0.5, 25, 0.1968856456959669, 18787
5, 0.5, 75, 0.06261947518361814, 55904
5, 0.5, 98, 0.1577963671328472, 67549
5, 0.55, 1, 0.1797350426054131, 3419
5, 0.55, 10, 0.3632032551643671, 11003
5, 0.55, 25, 0.1975359851819416, 18787
5, 0.55, 67, 0.08134038059815893, 50627
5, 0.55, 98, 0.1781853364501192, 67549
5, 0.6000000000000001, 1, 0.1764549154270271, 3419
5, 0.6000000000000001, 10, 0.3342369231070094, 11003
5, 0.6000000000000001, 25, 0.1985204013071261, 18787
5, 0.6000000000000001, 67, 0.104491519970789, 50627
5, 0.6000000000000001, 98, 0.1862962401880483, 67549
5, 0.65, 1, 0.1736794231991618, 3419
5, 0.65, 10, 0.3097269498277069, 11003
5, 0.65, 25, 0.1993533687976669, 18787
5, 0.65, 67, 0.1240809455937839, 50627
5, 0.65, 98, 0.1931593125816805, 67549
5, 0.7000000000000001, 1, 0.1713004298609914, 3419
5, 0.7000000000000001, 10, 0.2887184013025907, 11003
5, 0.7000000000000001, 25, 0.2000673409324162, 18787
5, 0.7000000000000001, 67, 0.1408718818420651, 50627
5, 0.7000000000000001, 98, 0.1990419460619367, 67549
5, 0.75, 2, 0.1644383680445617, 3638
5, 0.75, 10, 0.2791216138408404, 11003
5, 0.75, 25, 0.1969584387881705, 18787
5, 0.75, 67, 0.1550132262938758, 50627
5, 0.75, 98, 0.2044683530325515, 67549
5, 0.8, 2, 0.1633014928577755, 3638
5, 0.8, 10, 0.2627144497834642, 11003
5, 0.8, 25, 0.1974053740058208, 18787
5, 0.8, 67, 0.1677180099091461, 50627
5, 0.8, 98, 0.2088606734437934, 67549
5, 0.8500000000000001, 2, 0.1587559093216659, 3638
5, 0.8500000000000001, 10, 0.2504794445501436, 11003
5, 0.8500000000000001, 25, 0.1956962874130267, 18787
5, 0.8500000000000001, 66, 0.179506913318919, 50508
5, 0.8500000000000001, 98, 0.2155614453962448, 67549
5, 0.9, 2, 0.1575021268598648, 3638
5, 0.9, 10, 0.2372917249163648, 11003
5, 0.9, 25, 0.1955209142790686, 18787
5, 0.9, 66, 0.1911872345277416, 50508
5, 0.9, 98, 0.2184979994169602, 67549
5, 0.9500000000000001, 10, 0.2867334351516418, 11003
