maxfarms, p, zone, weight_z, cell, weight_c
5, 0.25, 4, 0.3355673169066529, 7005, 0.3355673169066529
5, 0.25, 10, 0.4, 7006, 0.4
5, 0.25, 8, 0.0942390483783153, 7407, 0.0942390483783153
5, 0.25, 17, 0.09787657783158837, 10212, 0.09787657783158837
5, 0.25, 25, 0.07231705688344342, 17605, 0.07231705688344342
5, 0.5, 2, 0.1831198145020018, 3638, 0.1831198145020018
5, 0.5, 10, 0.3586336777184476, 7006, 0.3586336777184476
5, 0.5, 17, 0.1111111987150901, 10212, 0.1111111987150901
5, 0.5, 25, 0.1936156097975144, 17605, 0.1936156097975144
5, 0.5, 98, 0.1535196992669462, 67549, 0.1535196992669462
5, 0.75, 2, 0.1677637665071225, 3638, 0.1677637665071225
5, 0.75, 10, 0.2832702966217464, 7006, 0.2832702966217464
5, 0.75, 25, 0.1983818797056591, 17605, 0.1983818797056591
5, 0.75, 67, 0.1561706446094757, 50627, 0.1561706446094757
5, 0.75, 98, 0.1944134125559963, 67549, 0.1944134125559963
10, 0.25, 4, 0.3355673169066491, 7005, 0.3355673169066491
10, 0.25, 10, 0.4, 7006, 0.4
10, 0.25, 8, 0.0942390483783184, 7407, 0.0942390483783184
10, 0.25, 17, 0.09787657783158879, 10212, 0.09787657783158879
10, 0.25, 25, 0.07231705688344371, 17605, 0.07231705688344371
10, 0.5, 2, 0.1016519297788251, 3638, 0.1016519297788251
10, 0.5, 4, 0.06753871875894837, 7005, 0.06753871875894837
10, 0.5, 10, 0.1945984521694818, 7006, 0.1945984521694818
10, 0.5, 8, 0.1345834337958145, 7407, 0.1345834337958145
10, 0.5, 17, 0.1411205961051675, 10212, 0.1411205961051675
10, 0.5, 25, 0.1805431709040899, 17605, 0.1805431709040899
10, 0.5, 75, 0.05928319138187806, 53987, 0.05928319138187806
10, 0.5, 98, 0.1206805071057948, 67549, 0.1206805071057948
10, 0.75, 2, 0.1216581553312775, 3638, 0.1216581553312775
10, 0.75, 10, 0.1103811036969565, 7006, 0.1103811036969565
10, 0.75, 8, 0.105370935171185, 7407, 0.105370935171185
10, 0.75, 17, 0.1148736738398109, 10212, 0.1148736738398109
10, 0.75, 25, 0.1560653819437479, 17605, 0.1560653819437479
10, 0.75, 47, 0.06174573963372094, 32906, 0.06174573963372094
10, 0.75, 66, 0.0898918667704432, 49665, 0.0898918667704432
10, 0.75, 75, 0.0516772428602599, 53987, 0.0516772428602599
10, 0.75, 89, 0.0661870384684604, 65177, 0.0661870384684604
10, 0.75, 98, 0.1221488622841377, 67549, 0.1221488622841377
20, 0.25, 4, 0.3355673169066538, 7005, 0.3355673169066538
20, 0.25, 10, 0.4, 7006, 0.4
20, 0.25, 8, 0.09423904837831426, 7407, 0.09423904837831427
20, 0.25, 17, 0.09787657783158853, 10212, 0.09787657783158853
20, 0.25, 25, 0.07231705688344343, 17605, 0.07231705688344343
20, 0.5, 2, 0.1016519297788258, 3638, 0.1016519297788258
20, 0.5, 4, 0.0675387187589462, 7005, 0.0675387187589462
20, 0.5, 10, 0.194598452169483, 7006, 0.1945984521694832
20, 0.5, 8, 0.134583433795815, 7407, 0.134583433795815
20, 0.5, 17, 0.1411205961051673, 10212, 0.1411205961051673
20, 0.5, 25, 0.1805431709040899, 17605, 0.1805431709040899
20, 0.5, 75, 0.05928319138187796, 53987, 0.05928319138187796
20, 0.5, 98, 0.1206805071057949, 67549, 0.1206805071057949
20, 0.75, 6, 0.05, 1828, 0.05
20, 0.75, 1, 0.05155295001442707, 3212, 0.05155295001442711
20, 0.75, 2, 0.05, 3638, 0.05
20, 0.75, 10, 0.1162036326636721, 7006, 0.1162036326636721
20, 0.75, 8, 0.08790756917803348, 7407, 0.08790756917803348
20, 0.75, 17, 0.1135471655732784, 10212, 0.1135471655732784
20, 0.75, 25, 0.1473967874357326, 17605, 0.1473967874357326
20, 0.75, 47, 0.05994536242415598, 32906, 0.05994536242415598
20, 0.75, 66, 0.05171415331438465, 50508, 0.05171415331438465
20, 0.75, 67, 0.07107955735125412, 50627, 0.07107955735125421
20, 0.75, 89, 0.07138014149876268, 65177, 0.07138014149876268
20, 0.75, 98, 0.129272680546299, 67549, 0.129272680546299
