maxfarms, p, zone, weight_z, cell, weight_c
20, 0.05, 4, 0.03333333333333333, 3881, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3883, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3884, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3992, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3993, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3994, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3995, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3996, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 3997, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4108, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4109, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4110, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4111, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4112, 0.001666666666666677
20, 0.05, 7, 0.05, 4220, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4225, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4226, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4227, 0.001666666666666677
20, 0.05, 7, 0.05, 4336, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4343, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4344, 0.001666666666666677
20, 0.05, 4, 0.03333333333333333, 4462, 0.001666666666666677
20, 0.05, 7, 0.05, 4570, 0.001666666666666677
20, 0.05, 7, 0.05, 4689, 0.001666666666666677
20, 0.05, 7, 0.05, 4690, 0.001666666666666677
20, 0.05, 7, 0.05, 4691, 0.001666666666666677
20, 0.05, 7, 0.05, 4809, 0.001666666666666677
20, 0.05, 7, 0.05, 4810, 0.001666666666666677
20, 0.05, 7, 0.05, 4811, 0.001666666666666677
20, 0.05, 9, 0.2, 4835, 0.001666666666666677
20, 0.05, 7, 0.05, 4929, 0.001666666666666677
20, 0.05, 7, 0.05, 4930, 0.001666666666666677
20, 0.05, 7, 0.05, 4931, 0.001666666666666677
20, 0.05, 7, 0.05, 4932, 0.001666666666666677
20, 0.05, 7, 0.05, 5051, 0.001666666666666677
20, 0.05, 7, 0.05, 5052, 0.001666666666666677
20, 0.05, 7, 0.05, 5053, 0.001666666666666677
20, 0.05, 7, 0.05, 5054, 0.001666666666666677
20, 0.05, 7, 0.05, 5173, 0.001666666666666677
20, 0.05, 7, 0.05, 5174, 0.001666666666666677
20, 0.05, 7, 0.05, 5175, 0.001666666666666677
20, 0.05, 7, 0.05, 5176, 0.001666666666666677
20, 0.05, 7, 0.05, 5177, 0.001666666666666677
20, 0.05, 9, 0.2, 5192, 0.001666666666666677
20, 0.05, 9, 0.2, 5193, 0.001666666666666677
20, 0.05, 9, 0.2, 5196, 0.001666666666666677
20, 0.05, 9, 0.2, 5197, 0.001666666666666677
20, 0.05, 9, 0.2, 5198, 0.001666666666666677
20, 0.05, 9, 0.2, 5199, 0.001666666666666677
20, 0.05, 7, 0.05, 5297, 0.001666666666666677
20, 0.05, 7, 0.05, 5298, 0.001666666666666677
20, 0.05, 7, 0.05, 5299, 0.001666666666666677
20, 0.05, 7, 0.05, 5300, 0.001666666666666677
20, 0.05, 9, 0.2, 5314, 0.001666666666666677
20, 0.05, 9, 0.2, 5315, 0.001666666666666677
20, 0.05, 9, 0.2, 5316, 0.001666666666666677
20, 0.05, 9, 0.2, 5317, 0.001666666666666677
20, 0.05, 9, 0.2, 5318, 0.001666666666666677
20, 0.05, 9, 0.2, 5319, 0.001666666666666677
20, 0.05, 9, 0.2, 5320, 0.001666666666666677
20, 0.05, 9, 0.2, 5321, 0.001666666666666677
20, 0.05, 9, 0.2, 5322, 0.001666666666666677
20, 0.05, 9, 0.2, 5323, 0.001666666666666677
20, 0.05, 9, 0.2, 5324, 0.001666666666666677
20, 0.05, 9, 0.2, 5325, 0.001666666666666677
20, 0.05, 9, 0.2, 5326, 0.001666666666666677
20, 0.05, 7, 0.05, 5424, 0.001666666666666677
20, 0.05, 7, 0.05, 5425, 0.001666666666666677
20, 0.05, 7, 0.05, 5426, 0.001666666666666677
20, 0.05, 9, 0.2, 5440, 0.001666666666666677
20, 0.05, 9, 0.2, 5441, 0.001666666666666677
20, 0.05, 9, 0.2, 5442, 0.001666666666666677
20, 0.05, 9, 0.2, 5443, 0.001666666666666677
20, 0.05, 9, 0.2, 5444, 0.001666666666666677
20, 0.05, 9, 0.2, 5445, 0.001666666666666677
20, 0.05, 9, 0.2, 5446, 0.001666666666666677
20, 0.05, 9, 0.2, 5447, 0.001666666666666677
20, 0.05, 9, 0.2, 5448, 0.001666666666666677
20, 0.05, 9, 0.2, 5449, 0.001666666666666677
20, 0.05, 9, 0.2, 5450, 0.001666666666666677
20, 0.05, 9, 0.2, 5451, 0.001666666666666677
20, 0.05, 9, 0.2, 5452, 0.001666666666666677
20, 0.05, 9, 0.2, 5453, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5549, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5550, 0.001666666666666677
20, 0.05, 7, 0.05, 5551, 0.001666666666666677
20, 0.05, 14, 0.2, 5564, 0.001666666666666677
20, 0.05, 14, 0.2, 5565, 0.001666666666666677
20, 0.05, 9, 0.2, 5566, 0.001666666666666677
20, 0.05, 9, 0.2, 5567, 0.001666666666666677
20, 0.05, 9, 0.2, 5568, 0.001666666666666677
20, 0.05, 9, 0.2, 5569, 0.001666666666666677
20, 0.05, 9, 0.2, 5570, 0.001666666666666677
20, 0.05, 9, 0.2, 5571, 0.001666666666666677
20, 0.05, 9, 0.2, 5572, 0.001666666666666677
20, 0.05, 9, 0.2, 5573, 0.001666666666666677
20, 0.05, 9, 0.2, 5574, 0.001666666666666677
20, 0.05, 9, 0.2, 5575, 0.001666666666666677
20, 0.05, 9, 0.2, 5576, 0.001666666666666677
20, 0.05, 9, 0.2, 5577, 0.001666666666666677
20, 0.05, 9, 0.2, 5578, 0.001666666666666677
20, 0.05, 9, 0.2, 5579, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5676, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5677, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5678, 0.001666666666666677
20, 0.05, 14, 0.2, 5690, 0.001666666666666677
20, 0.05, 14, 0.2, 5691, 0.001666666666666677
20, 0.05, 14, 0.2, 5692, 0.001666666666666677
20, 0.05, 14, 0.2, 5693, 0.001666666666666677
20, 0.05, 9, 0.2, 5694, 0.001666666666666677
20, 0.05, 9, 0.2, 5695, 0.001666666666666677
20, 0.05, 9, 0.2, 5696, 0.001666666666666677
20, 0.05, 9, 0.2, 5697, 0.001666666666666677
20, 0.05, 9, 0.2, 5698, 0.001666666666666677
20, 0.05, 9, 0.2, 5699, 0.001666666666666677
20, 0.05, 9, 0.2, 5700, 0.001666666666666677
20, 0.05, 9, 0.2, 5701, 0.001666666666666677
20, 0.05, 9, 0.2, 5702, 0.001666666666666677
20, 0.05, 9, 0.2, 5703, 0.001666666666666677
20, 0.05, 9, 0.2, 5704, 0.001666666666666677
20, 0.05, 9, 0.2, 5705, 0.001666666666666677
20, 0.05, 9, 0.2, 5706, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5804, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5805, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5806, 0.001666666666666677
20, 0.05, 14, 0.2, 5817, 0.001666666666666677
20, 0.05, 14, 0.2, 5818, 0.001666666666666677
20, 0.05, 14, 0.2, 5819, 0.001666666666666677
20, 0.05, 14, 0.2, 5820, 0.001666666666666677
20, 0.05, 14, 0.2, 5821, 0.001666666666666677
20, 0.05, 9, 0.2, 5822, 0.001666666666666677
20, 0.05, 9, 0.2, 5823, 0.001666666666666677
20, 0.05, 9, 0.2, 5824, 0.001666666666666677
20, 0.05, 9, 0.2, 5825, 0.001666666666666677
20, 0.05, 9, 0.2, 5826, 0.001666666666666677
20, 0.05, 9, 0.2, 5827, 0.001666666666666677
20, 0.05, 9, 0.2, 5828, 0.001666666666666677
20, 0.05, 9, 0.2, 5829, 0.001666666666666677
20, 0.05, 9, 0.2, 5830, 0.001666666666666677
20, 0.05, 9, 0.2, 5831, 0.001666666666666677
20, 0.05, 9, 0.2, 5832, 0.001666666666666677
20, 0.05, 9, 0.2, 5833, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5931, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5932, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5933, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 5934, 0.001666666666666677
20, 0.05, 14, 0.2, 5944, 0.001666666666666677
20, 0.05, 14, 0.2, 5945, 0.001666666666666677
20, 0.05, 14, 0.2, 5946, 0.001666666666666677
20, 0.05, 14, 0.2, 5947, 0.001666666666666677
20, 0.05, 14, 0.2, 5948, 0.001666666666666677
20, 0.05, 14, 0.2, 5949, 0.001666666666666677
20, 0.05, 9, 0.2, 5950, 0.001666666666666677
20, 0.05, 9, 0.2, 5951, 0.001666666666666677
20, 0.05, 9, 0.2, 5952, 0.001666666666666677
20, 0.05, 9, 0.2, 5953, 0.001666666666666677
20, 0.05, 9, 0.2, 5954, 0.001666666666666677
20, 0.05, 9, 0.2, 5955, 0.001666666666666677
20, 0.05, 9, 0.2, 5956, 0.001666666666666677
20, 0.05, 9, 0.2, 5957, 0.001666666666666677
20, 0.05, 9, 0.2, 5958, 0.001666666666666677
20, 0.05, 9, 0.2, 5959, 0.001666666666666677
20, 0.05, 9, 0.2, 5960, 0.001666666666666677
20, 0.05, 9, 0.2, 5961, 0.001666666666666677
20, 0.05, 18, 0.2, 5962, 0.001666666666666677
20, 0.05, 18, 0.2, 5963, 0.001666666666666677
20, 0.05, 18, 0.2, 5964, 0.001666666666666677
20, 0.05, 18, 0.2, 5965, 0.001666666666666677
20, 0.05, 18, 0.2, 5967, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6060, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6061, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6062, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6063, 0.001666666666666677
20, 0.05, 14, 0.2, 6072, 0.001666666666666677
20, 0.05, 14, 0.2, 6073, 0.001666666666666677
20, 0.05, 14, 0.2, 6074, 0.001666666666666677
20, 0.05, 14, 0.2, 6075, 0.001666666666666677
20, 0.05, 14, 0.2, 6076, 0.001666666666666677
20, 0.05, 14, 0.2, 6077, 0.001666666666666677
20, 0.05, 14, 0.2, 6078, 0.001666666666666677
20, 0.05, 9, 0.2, 6079, 0.001666666666666677
20, 0.05, 9, 0.2, 6080, 0.001666666666666677
20, 0.05, 9, 0.2, 6081, 0.001666666666666677
20, 0.05, 9, 0.2, 6082, 0.001666666666666677
20, 0.05, 9, 0.2, 6083, 0.001666666666666677
20, 0.05, 9, 0.2, 6084, 0.001666666666666677
20, 0.05, 9, 0.2, 6085, 0.001666666666666677
20, 0.05, 9, 0.2, 6086, 0.001666666666666677
20, 0.05, 9, 0.2, 6087, 0.001666666666666677
20, 0.05, 9, 0.2, 6088, 0.001666666666666677
20, 0.05, 9, 0.2, 6089, 0.001666666666666677
20, 0.05, 9, 0.2, 6090, 0.001666666666666677
20, 0.05, 18, 0.2, 6091, 0.001666666666666677
20, 0.05, 18, 0.2, 6092, 0.001666666666666677
20, 0.05, 18, 0.2, 6093, 0.001666666666666677
20, 0.05, 18, 0.2, 6094, 0.001666666666666677
20, 0.05, 18, 0.2, 6095, 0.001666666666666677
20, 0.05, 18, 0.2, 6096, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6190, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6191, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6192, 0.001666666666666677
20, 0.05, 14, 0.2, 6200, 0.001666666666666677
20, 0.05, 14, 0.2, 6201, 0.001666666666666677
20, 0.05, 14, 0.2, 6202, 0.001666666666666677
20, 0.05, 14, 0.2, 6203, 0.001666666666666677
20, 0.05, 14, 0.2, 6204, 0.001666666666666677
20, 0.05, 14, 0.2, 6205, 0.001666666666666677
20, 0.05, 14, 0.2, 6206, 0.001666666666666677
20, 0.05, 14, 0.2, 6207, 0.001666666666666677
20, 0.05, 9, 0.2, 6209, 0.001666666666666677
20, 0.05, 9, 0.2, 6210, 0.001666666666666677
20, 0.05, 9, 0.2, 6211, 0.001666666666666677
20, 0.05, 9, 0.2, 6212, 0.001666666666666677
20, 0.05, 9, 0.2, 6213, 0.001666666666666677
20, 0.05, 9, 0.2, 6214, 0.001666666666666677
20, 0.05, 9, 0.2, 6215, 0.001666666666666677
20, 0.05, 9, 0.2, 6216, 0.001666666666666677
20, 0.05, 9, 0.2, 6217, 0.001666666666666677
20, 0.05, 9, 0.2, 6218, 0.001666666666666677
20, 0.05, 18, 0.2, 6219, 0.001666666666666677
20, 0.05, 18, 0.2, 6220, 0.001666666666666677
20, 0.05, 18, 0.2, 6221, 0.001666666666666677
20, 0.05, 18, 0.2, 6222, 0.001666666666666677
20, 0.05, 18, 0.2, 6223, 0.001666666666666677
20, 0.05, 18, 0.2, 6224, 0.001666666666666677
20, 0.05, 18, 0.2, 6225, 0.001666666666666677
20, 0.05, 18, 0.2, 6226, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6321, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6322, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6323, 0.001666666666666677
20, 0.05, 14, 0.2, 6331, 0.001666666666666677
20, 0.05, 14, 0.2, 6332, 0.001666666666666677
20, 0.05, 14, 0.2, 6333, 0.001666666666666677
20, 0.05, 14, 0.2, 6334, 0.001666666666666677
20, 0.05, 14, 0.2, 6335, 0.001666666666666677
20, 0.05, 14, 0.2, 6336, 0.001666666666666677
20, 0.05, 14, 0.2, 6337, 0.001666666666666677
20, 0.05, 14, 0.2, 6338, 0.001666666666666677
20, 0.05, 19, 0.2, 6339, 0.001666666666666677
20, 0.05, 19, 0.2, 6340, 0.001666666666666677
20, 0.05, 19, 0.2, 6341, 0.001666666666666677
20, 0.05, 9, 0.2, 6342, 0.001666666666666677
20, 0.05, 9, 0.2, 6343, 0.001666666666666677
20, 0.05, 9, 0.2, 6344, 0.001666666666666677
20, 0.05, 9, 0.2, 6345, 0.001666666666666677
20, 0.05, 9, 0.2, 6346, 0.001666666666666677
20, 0.05, 9, 0.2, 6347, 0.001666666666666677
20, 0.05, 9, 0.2, 6348, 0.001666666666666677
20, 0.05, 9, 0.2, 6349, 0.001666666666666677
20, 0.05, 18, 0.2, 6350, 0.001666666666666677
20, 0.05, 18, 0.2, 6351, 0.001666666666666677
20, 0.05, 18, 0.2, 6352, 0.001666666666666677
20, 0.05, 18, 0.2, 6353, 0.001666666666666677
20, 0.05, 18, 0.2, 6354, 0.001666666666666677
20, 0.05, 18, 0.2, 6355, 0.001666666666666677
20, 0.05, 18, 0.2, 6356, 0.001666666666666677
20, 0.05, 18, 0.2, 6357, 0.001666666666666677
20, 0.05, 18, 0.2, 6358, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6453, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6454, 0.001666666666666677
20, 0.05, 14, 0.2, 6461, 0.001666666666666677
20, 0.05, 14, 0.2, 6462, 0.001666666666666677
20, 0.05, 14, 0.2, 6463, 0.001666666666666677
20, 0.05, 14, 0.2, 6464, 0.001666666666666677
20, 0.05, 14, 0.2, 6465, 0.001666666666666677
20, 0.05, 14, 0.2, 6466, 0.001666666666666677
20, 0.05, 14, 0.2, 6467, 0.001666666666666677
20, 0.05, 14, 0.2, 6468, 0.001666666666666677
20, 0.05, 14, 0.2, 6469, 0.001666666666666677
20, 0.05, 19, 0.2, 6471, 0.001666666666666677
20, 0.05, 19, 0.2, 6472, 0.001666666666666677
20, 0.05, 19, 0.2, 6473, 0.001666666666666677
20, 0.05, 19, 0.2, 6474, 0.001666666666666677
20, 0.05, 19, 0.2, 6475, 0.001666666666666677
20, 0.05, 9, 0.2, 6476, 0.001666666666666677
20, 0.05, 9, 0.2, 6477, 0.001666666666666677
20, 0.05, 9, 0.2, 6478, 0.001666666666666677
20, 0.05, 9, 0.2, 6479, 0.001666666666666677
20, 0.05, 18, 0.2, 6480, 0.001666666666666677
20, 0.05, 18, 0.2, 6481, 0.001666666666666677
20, 0.05, 18, 0.2, 6482, 0.001666666666666677
20, 0.05, 18, 0.2, 6483, 0.001666666666666677
20, 0.05, 18, 0.2, 6484, 0.001666666666666677
20, 0.05, 18, 0.2, 6485, 0.001666666666666677
20, 0.05, 18, 0.2, 6486, 0.001666666666666677
20, 0.05, 18, 0.2, 6487, 0.001666666666666677
20, 0.05, 18, 0.2, 6488, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6584, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6585, 0.001666666666666677
