i,CF
1,-0.6494079983064472
2,-0.649684392343535
3,-0.6492093578294296
4,-0.6496614223666907
5,-0.6497027085541393
6,-0.6500743078769502
7,-0.6501905630152375
8,-0.650708908564895
9,-0.6492570116764546
10,-0.6494553800630065
11,-0.6494561473269379
12,-0.6497886966043611
13,-0.6498178287533103
14,-0.6506919602669791
15,-0.6507739660793199
16,-0.6512513240363199
17,-0.6510843599065381
18,-0.6517159878844695
19,-0.6516933431676354
20,-0.6496024336294273
21,-0.6496871759520529
22,-0.6494254430679447
23,-0.6496556867922989
24,-0.6495158721099366
25,-0.6502280989864262
26,-0.6502961545241042
27,-0.6509406321499029
28,-0.6511668013663886
29,-0.6515929765765186
30,-0.6517967458586039
31,-0.6520338106692645
32,-0.6521649882083701
33,-0.6524317935594811
34,-0.6522548609738206
35,-0.6497895697829084
36,-0.6501677788058262
37,-0.6501552057608417
38,-0.6503457096310346
39,-0.6502991369488219
40,-0.6506793085187929
41,-0.650645416372866
42,-0.6508656017660831
43,-0.6508450487373917
44,-0.6511578330824491
45,-0.6511930687449597
46,-0.6515179109163681
47,-0.6522206581176656
48,-0.6528706989373919
49,-0.6532192947232457
50,-0.6532166440583865
51,-0.6534363698924935
52,-0.6537306496153616
53,-0.6535155187657744
54,-0.6493596644404154
55,-0.6494818117708182
56,-0.6499084411816285
57,-0.6501895551897887
58,-0.6505421928953071
59,-0.6507490655982924
60,-0.6511741230006509
61,-0.6513797425624055
62,-0.6513653486848076
63,-0.6511364605407167
64,-0.6511906677099214
65,-0.6512000981167069
66,-0.6516956575856936
67,-0.6519137722371046
68,-0.6524501133007643
69,-0.6528624280100402
70,-0.6533502703286701
71,-0.6537763857800813
72,-0.6540115161884562
73,-0.6544559999418303
74,-0.6547016993331477
75,-0.654529582909832
76,-0.6544481088672093
77,-0.6546053454722774
78,-0.649673554324706
79,-0.6495783751389892
80,-0.650130467078313
81,-0.6502306088374642
82,-0.6507232846156592
83,-0.6505240518882502
84,-0.6508836246942975
85,-0.6511148060122305
86,-0.6517258774421216
87,-0.6517455639415092
88,-0.6522157326426936
89,-0.6522791931557038
90,-0.6527867986638819
91,-0.6526068602113646
92,-0.6530694606023204
93,-0.6532196264841869
94,-0.6533726498649126
95,-0.6538049355119335
96,-0.6545840066552493
97,-0.6548211905072681
98,-0.655380661108096
99,-0.655293020989294
100,-0.6558386195251985
101,-0.6558506160881189
102,-0.6556874937139325
103,-0.655365675457969
104,-0.6495535216921323
105,-0.649710795817767
106,-0.6497237671282262
107,-0.6504337377824283
108,-0.6506425952302363
109,-0.6512475037723543
110,-0.6514872600124142
111,-0.6519180485088609
112,-0.6518028492520341
113,-0.652453697123055
114,-0.6523524343980012
115,-0.6525758589792042
116,-0.6525423095913371
117,-0.6530357036462797
118,-0.6527796076391755
119,-0.6533502922123263
120,-0.6537342919281796
121,-0.6547279725007596
122,-0.6549299989292643
123,-0.6551871775165139
124,-0.6555247718094769
125,-0.6561689327354341
126,-0.6561648048813131
127,-0.6561334053791075
128,-0.6561560588682005
129,-0.656513919651152
130,-0.6565948082532151
131,-0.6500429967114769
132,-0.6501273728223711
133,-0.6500413415615373
134,-0.6503710697207804
135,-0.6504647254255999
136,-0.6510271135609239
137,-0.6511089196963403
138,-0.651476564430216
139,-0.6517701833968468
140,-0.6521127697958128
141,-0.6521140277651499
142,-0.6526667628172017
143,-0.652875842777173
144,-0.6533415042402879
145,-0.6532906162381562
146,-0.6538652376008595
147,-0.6540597928266524
148,-0.6545310677463293
149,-0.654603465391194
150,-0.6555966733122544
151,-0.6554921966138364
152,-0.6564502795072623
153,-0.6563402267509063
154,-0.6568847364619369
155,-0.6567418638378133
156,-0.657132901661338
157,-0.6572049660203517
158,-0.6572267393661824
159,-0.6571055021162742
160,-0.657677997898755
161,-0.6503641875228069
162,-0.6503974516374065
163,-0.6505753457392007
164,-0.6502581522234795
165,-0.6502440113160859
166,-0.6504920068575869
167,-0.6510021377537375
168,-0.6514236436437849
169,-0.6519327864126852
170,-0.6521493089496203
171,-0.6524716227844534
172,-0.6529169920509206
173,-0.6533419401669001
174,-0.6533870214912524
175,-0.6536817840628003
176,-0.6535464612629939
177,-0.6539175661834471
178,-0.6540765796812051
179,-0.6546283066700984
180,-0.6556087110461463
181,-0.6562734844329026
182,-0.6562918939901441
183,-0.6565993514857156
184,-0.656897888802342
185,-0.657567666907946
186,-0.6575274440289595
187,-0.6576981316207463
188,-0.6576859937773395
189,-0.6579773137980719
190,-0.6576715758324564
191,-0.6578252252007644
192,-0.6507859416420896
193,-0.6508938002539206
194,-0.6511785502570472
195,-0.6511642367475369
196,-0.6512613953946067
197,-0.6511289021164122
198,-0.6511213894616615
199,-0.6514358795132925
200,-0.651926935038139
201,-0.6521767422636123
202,-0.6525972984019937
203,-0.6526021323267865
204,-0.6528508673727946
205,-0.6529879711745248
206,-0.6533718902871978
207,-0.6538486219897666
208,-0.6541011846026064
209,-0.6544073246523114
210,-0.654625122287213
211,-0.654933062119346
212,-0.6557931643681328
213,-0.6561743280162273
214,-0.6564251036751404
215,-0.6566847819727821
216,-0.6576225014632163
217,-0.6578523461580441
218,-0.6581375383418011
219,-0.658350529723351
220,-0.658666577237128
221,-0.6584762998638479
222,-0.6583518669990222
223,-0.6580626556719228
224,-0.6583109384868074
225,-0.6585390265036121
226,-0.6509457096209261
227,-0.6509879089173961
228,-0.6511355320067226
229,-0.6512902321115898
230,-0.651085346658209
231,-0.6509565277328022
232,-0.6509737918339903
233,-0.6512129602788944
234,-0.6514377079894165
235,-0.6523339748836625
236,-0.6529327418890836
237,-0.6530792151920926
238,-0.6531793899524168
239,-0.653498658712658
240,-0.6538816919336579
241,-0.654005994878855
242,-0.6543645448204252
243,-0.6544096199519467
244,-0.6546984757917179
245,-0.6546574251195463
246,-0.6554619744338167
247,-0.6560813208488206
248,-0.6567471344103992
249,-0.6571096936150315
250,-0.6576290936474796
251,-0.6581187635203425
252,-0.6587837839498513
253,-0.6590516727155442
254,-0.6589750088752048
255,-0.6589933175688671
256,-0.6588888806054186
257,-0.6591478188690065
258,-0.6585736858610249
259,-0.6586091891654241
260,-0.6590271415275771
261,-0.6509028239593062
262,-0.6511975975944465
263,-0.6509639429511873
264,-0.6511912769736327
265,-0.6513314389756387
266,-0.6514188765739202
267,-0.6512769808013303
268,-0.6513582550932844
269,-0.6517240443502227
270,-0.6520603263419114
271,-0.652233674833741
272,-0.653127072894956
273,-0.6532288791020967
274,-0.6537084003728854
275,-0.653838675386425
276,-0.6539139999377499
277,-0.6539669683249371
278,-0.6541996807421764
279,-0.6547710117371065
280,-0.6553267133228375
281,-0.6556286662176318
282,-0.655875277783296
283,-0.6568501381859236
284,-0.6569025544783287
285,-0.6574325166129205
286,-0.6578657895832469
287,-0.6585182829691327
288,-0.6588153516440846
289,-0.6590533173157007
290,-0.6592721800430061
291,-0.6597315561169591
292,-0.6596671003159448
293,-0.659738385404493
