z,y,cor_value
  1,  1, 1.0000000000
  2,  1, 0.9546415473
  3,  1, 0.8526118979
  4,  1, 0.8452776756
  5,  1, 0.7272339321
  6,  1, 0.6211040284
  7,  1, 0.7303233956
  8,  1, 0.6565371027
  9,  1, 0.6163428911
 10,  1, 0.5065336630
 11,  1, 0.4903675696
 12,  1, 0.5443017100
 13,  1, 0.5293073929
 14,  1, 0.3679597451
 15,  1, 0.4839096272
 16,  1, 0.4200016891
 17,  1, 0.3257143661
 18,  1, 0.2533462382
 19,  1, 0.3366479916
 20,  1, 0.2421260338
 21,  1, 0.3022035622
 22,  1, 0.3366295886
 23,  1, 0.1812674548
 24,  1, 0.1719243514
 25,  1, 0.1552699270
 26,  1, 0.2951037507
 27,  1, 0.2567215138
 28,  1, 0.0842116949
 29,  1, 0.0440897278
 30,  1, 0.0521317329
 31,  1, 0.0434639758
 32,  1, 0.0702286444
 33,  1, 0.1036633093
 34,  1, 0.0881704121
 35,  1, 0.0937079751
 36,  1, 0.0757125669
 37,  1, 0.0854207879
 38,  1, 0.0658743014
 39,  1, 0.0832467564
 40,  1, 0.1000497750
 41,  1, 0.1141503356
 42,  1, 0.0898788682
 43,  1, 0.0670055952
 44,  1, 0.0770463723
 45,  1, 0.0980198604
 46,  1, 0.0597787921
 47,  1, 0.0561729729
 48,  1, 0.0781625632
 49,  1, 0.0544562871
 50,  1, 0.0757273637
 51,  1, 0.0501134605
 52,  1, 0.0765798916
 53,  1, 0.0430581040
 54,  1, 0.0495385389
 55,  1, 0.0447437850
 56,  1, 0.0229366427
 57,  1, 0.0381004837
 58,  1, 0.0508525913
 59,  1, 0.0229658652
 60,  1,-0.0039900547
 61,  1,-0.0106147690
 62,  1,-0.0034815875
 63,  1, 0.0442123190
 64,  1, 0.0269759303
 65,  1, 0.0094421940
 66,  1, 0.0034350307
 67,  1,-0.0068263594
 68,  1,-0.0075798959
 69,  1,-0.0002294588
 70,  1, 0.0156216914
 71,  1,-0.0054270562
 72,  1, 0.0017732432
 73,  1,-0.0044848134
 74,  1, 0.0481415428
 75,  1, 0.0015602583
 76,  1, 0.0062064314
 77,  1,-0.0273887576
 78,  1, 0.0272474108
 79,  1,-0.0448204022
 80,  1, 0.0135878284
 81,  1, 0.0631345758
 82,  1,-0.0002679964
 83,  1,-0.0370355027
 84,  1,-0.0071272711
 85,  1,-0.0113460802
 86,  1,-0.0201988322
 87,  1, 0.0106666243
 88,  1, 0.0552200422
 89,  1,-0.0271185981
 90,  1,-0.0247795393
 91,  1,-0.0424386189
 92,  1, 0.0099550231
 93,  1, 0.0384716545
 94,  1, 0.0105366187
 95,  1,-0.0342794326
 96,  1, 0.0039354900
 97,  1, 0.0358637022
 98,  1, 0.0020439693
 99,  1, 0.0406745316
100,  1, 0.0370582659
  1,  2, 0.9546415473
  2,  2, 1.0000000000
  3,  2, 0.9325173662
  4,  2, 0.7771314557
  5,  2, 0.8022419563
  6,  2, 0.6936510357
  7,  2, 0.7330833351
  8,  2, 0.6337930982
  9,  2, 0.6214121220
 10,  2, 0.4687345704
 11,  2, 0.5374613022
 12,  2, 0.5855253687
 13,  2, 0.5470632887
 14,  2, 0.4077833761
 15,  2, 0.4882740441
 16,  2, 0.4511513659
 17,  2, 0.3134726650
 18,  2, 0.2867256737
 19,  2, 0.3696259787
 20,  2, 0.2725930817
 21,  2, 0.2834246098
 22,  2, 0.3478399927
 23,  2, 0.2034178432
 24,  2, 0.1973263588
 25,  2, 0.1737851252
 26,  2, 0.2764353058
 27,  2, 0.2822774014
 28,  2, 0.1028605994
 29,  2, 0.0573222821
 30,  2, 0.0574174805
 31,  2, 0.0596119923
 32,  2, 0.0908279281
 33,  2, 0.1117000966
 34,  2, 0.1079976372
 35,  2, 0.1119077064
 36,  2, 0.0889967836
 37,  2, 0.1000719250
 38,  2, 0.0720852313
 39,  2, 0.0992718576
 40,  2, 0.1121843332
 41,  2, 0.1175066486
 42,  2, 0.0893370203
 43,  2, 0.0645163241
 44,  2, 0.0859028403
 45,  2, 0.1028698591
 46,  2, 0.0553828490
 47,  2, 0.0521037767
 48,  2, 0.0784145202
 49,  2, 0.0555219131
 50,  2, 0.0818442673
 51,  2, 0.0527278192
 52,  2, 0.0838626134
 53,  2, 0.0398040883
 54,  2, 0.0594350701
 55,  2, 0.0475617282
 56,  2, 0.0260035123
 57,  2, 0.0429986589
 58,  2, 0.0502665557
 59,  2, 0.0219417473
 60,  2,-0.0036038158
 61,  2,-0.0081306988
 62,  2,-0.0037387754
 63,  2, 0.0464776413
 64,  2, 0.0283385544
 65,  2, 0.0056303919
 66,  2, 0.0012687174
 67,  2,-0.0082865825
 68,  2,-0.0033857630
 69,  2, 0.0038423013
 70,  2, 0.0165708814
 71,  2,-0.0095931738
 72,  2,-0.0056647322
 73,  2,-0.0042346934
 74,  2, 0.0477786255
 75,  2, 0.0068697224
 76,  2,-0.0018137751
 77,  2,-0.0282771059
 78,  2, 0.0279354221
 79,  2,-0.0450598556
 80,  2, 0.0198687956
 81,  2, 0.0613607682
 82,  2, 0.0109402156
 83,  2,-0.0328333275
 84,  2, 0.0031665490
 85,  2,-0.0003801608
 86,  2,-0.0126465476
 87,  2, 0.0193234376
 88,  2, 0.0553683619
 89,  2,-0.0171608518
 90,  2,-0.0195335305
 91,  2,-0.0338381584
 92,  2, 0.0152478520
 93,  2, 0.0366054206
 94,  2, 0.0132424725
 95,  2,-0.0293248916
 96,  2, 0.0056471333
 97,  2, 0.0306138027
 98,  2,-0.0005023902
 99,  2, 0.0284808482
100,  2, 0.0238083585
  1,  3, 0.8526118979
  2,  3, 0.9325173662
  3,  3, 1.0000000000
  4,  3, 0.7353951680
  5,  3, 0.9328972211
  6,  3, 0.8128288981
  7,  3, 0.8034519610
  8,  3, 0.6652864650
  9,  3, 0.7112219040
 10,  3, 0.4707739191
 11,  3, 0.6294040557
 12,  3, 0.6969102987
 13,  3, 0.6323566078
 14,  3, 0.4709840700
 15,  3, 0.5233278431
 16,  3, 0.5198329471
 17,  3, 0.3062983703
 18,  3, 0.3416481034
 19,  3, 0.4233777576
 20,  3, 0.3126060683
 21,  3, 0.2718011381
 22,  3, 0.3760661582
 23,  3, 0.2479500603
 24,  3, 0.2456706502
 25,  3, 0.2044423124
 26,  3, 0.2645258473
 27,  3, 0.3215028605
 28,  3, 0.1327220071
 29,  3, 0.0724228807
 30,  3, 0.0692855119
 31,  3, 0.0831263047
 32,  3, 0.1277968586
 33,  3, 0.1211484684
 34,  3, 0.1488208182
 35,  3, 0.1501669740
 36,  3, 0.1157635996
 37,  3, 0.1335848686
 38,  3, 0.0917224363
 39,  3, 0.1316571705
 40,  3, 0.1399992468
 41,  3, 0.1427621445
 42,  3, 0.1131812557
 43,  3, 0.0824710661
 44,  3, 0.1172368517
 45,  3, 0.1299479708
 46,  3, 0.0614394961
 47,  3, 0.0692159589
 48,  3, 0.1013461955
 49,  3, 0.0790554995
 50,  3, 0.1066318443
 51,  3, 0.0625490966
 52,  3, 0.1004069136
 53,  3, 0.0556331054
 54,  3, 0.0788951825
 55,  3, 0.0694313212
 56,  3, 0.0411104073
 57,  3, 0.0501516636
 58,  3, 0.0602533657
 59,  3, 0.0343805303
 60,  3, 0.0118417505
 61,  3, 0.0077766329
 62,  3, 0.0076921277
 63,  3, 0.0587194932
 64,  3, 0.0387775657
 65,  3, 0.0119758338
 66,  3, 0.0122433726
 67,  3, 0.0042322069
 68,  3, 0.0118294651
 69,  3, 0.0168848943
 70,  3, 0.0242237206
 71,  3, 0.0035805240
 72,  3, 0.0061324104
 73,  3, 0.0091976928
 74,  3, 0.0443261710
 75,  3, 0.0217951343
 76,  3, 0.0023877889
 77,  3,-0.0135749336
 78,  3, 0.0318868034
 79,  3,-0.0286971114
 80,  3, 0.0308112003
 81,  3, 0.0523013305
 82,  3, 0.0280182462
 83,  3,-0.0169150601
 84,  3, 0.0153430433
 85,  3, 0.0169103337
 86,  3, 0.0019314331
 87,  3, 0.0300219141
 88,  3, 0.0486069698
 89,  3,-0.0046051629
 90,  3,-0.0079006960
 91,  3,-0.0217677018
 92,  3, 0.0236564317
 93,  3, 0.0287100544
 94,  3, 0.0195726321
 95,  3,-0.0217913847
 96,  3, 0.0123208521
 97,  3, 0.0219234805
 98,  3, 0.0018442399
 99,  3, 0.0146446514
100,  3, 0.0110849324
  1,  4, 0.8452776756
  2,  4, 0.7771314557
  3,  4, 0.7353951680
  4,  4, 1.0000000000
  5,  4, 0.6351934631
  6,  4, 0.5133575525
  7,  4, 0.8349540793
  8,  4, 0.8683617858
  9,  4, 0.6770094016
 10,  4, 0.7492651977
 11,  4, 0.4198351977
 12,  4, 0.5075096268
 13,  4, 0.5529352085
 14,  4, 0.3109169014
 15,  4, 0.5044299824
 16,  4, 0.4039699688
 17,  4, 0.4016218464
 18,  4, 0.2190196033
 19,  4, 0.2996482069
 20,  4, 0.2097953346
 21,  4, 0.3451251255
 22,  4, 0.3556424323
 23,  4, 0.1761324478
 24,  4, 0.1766154968
 25,  4, 0.1423999973
 26,  4, 0.3291790113
 27,  4, 0.2431397608
 28,  4, 0.0929735388
 29,  4, 0.0445042406
 30,  4, 0.0748603019
 31,  4, 0.0603218248
 32,  4, 0.0902704895
 33,  4, 0.1197670066
 34,  4, 0.1213343334
 35,  4, 0.1245458636
 36,  4, 0.0872771632
 37,  4, 0.1029534761
 38,  4, 0.0794003565
 39,  4, 0.1030474349
 40,  4, 0.1172607123
 41,  4, 0.1289280902
 42,  4, 0.1051942177
 43,  4, 0.0755394737
 44,  4, 0.0929809311
 45,  4, 0.1155229249
 46,  4, 0.0602646798
 47,  4, 0.0710994569
 48,  4, 0.1000572290
