z,y,cov_value
  1,  1, 0.139941595596
  2,  1, 0.135056796424
  3,  1, 0.123192733819
  4,  1, 0.125503202841
  5,  1, 0.110283874995
  6,  1, 0.095786942244
  7,  1, 0.116361952805
  8,  1, 0.112347336257
  9,  1, 0.095742545084
 10,  1, 0.085400989099
 11,  1, 0.094521010459
 12,  1, 0.098960697358
 13,  1, 0.073159741658
 14,  1, 0.072416032311
 15,  1, 0.081353045475
 16,  1, 0.073052897498
 17,  1, 0.080402662644
 18,  1, 0.061440596904
 19,  1, 0.053125543869
 20,  1, 0.078555953078
 21,  1, 0.071825500083
 22,  1, 0.067522361175
 23,  1, 0.056791735407
 24,  1, 0.061427008386
 25,  1, 0.041712043515
 26,  1, 0.059481625671
 27,  1, 0.061737755133
 28,  1, 0.045388508107
 29,  1, 0.055051769619
 30,  1, 0.034897767513
 31,  1, 0.040204391596
 32,  1, 0.046070058590
 33,  1, 0.028249679192
 34,  1, 0.025504042975
 35,  1, 0.037833362511
 36,  1, 0.023671029436
 37,  1, 0.037304099542
 38,  1, 0.025094384452
 39,  1, 0.014304088924
 40,  1, 0.020623952945
 41,  1, 0.018838082251
 42,  1, 0.017803334472
 43,  1, 0.005681504022
 44,  1, 0.005017385512
 45,  1, 0.009497230942
 46,  1, 0.007984314315
 47,  1, 0.004848204682
 48,  1, 0.005790647612
 49,  1, 0.011169090720
 50,  1, 0.010144289977
 51,  1, 0.008175120363
 52,  1, 0.009724240037
 53,  1, 0.009050383833
 54,  1, 0.006255688926
 55,  1, 0.009412455715
 56,  1, 0.012002323380
 57,  1, 0.010295741319
 58,  1, 0.013021436399
 59,  1, 0.012522884773
 60,  1, 0.007707012480
 61,  1, 0.011915783987
 62,  1, 0.011871628678
 63,  1, 0.015327440865
 64,  1, 0.008748181659
 65,  1, 0.013126840090
 66,  1, 0.012609262856
 67,  1, 0.007839547421
 68,  1, 0.009251886447
 69,  1, 0.010964102944
 70,  1, 0.009669819896
 71,  1, 0.006068727896
 72,  1, 0.009083704745
 73,  1, 0.006681209716
 74,  1, 0.010395486924
 75,  1, 0.006948702849
 76,  1, 0.004708916457
 77,  1, 0.006524109432
 78,  1, 0.005513036128
 79,  1, 0.004951571131
 80,  1, 0.004215502534
 81,  1, 0.002066788819
 82,  1, 0.004329892421
 83,  1, 0.004146996209
 84,  1, 0.001619694452
 85,  1,-0.002294185653
 86,  1,-0.001089143750
 87,  1, 0.002983866438
 88,  1,-0.002371248266
 89,  1, 0.004117952141
 90,  1,-0.001477599125
 91,  1,-0.000372474010
 92,  1, 0.004720557545
 93,  1, 0.000915970099
 94,  1, 0.000148847086
 95,  1,-0.001261221979
 96,  1,-0.001653795720
 97,  1,-0.002577309813
 98,  1,-0.002292278796
 99,  1, 0.000653359197
100,  1, 0.000818382874
101,  1,-0.000684555869
102,  1, 0.002696794625
103,  1,-0.001403374304
104,  1,-0.001981082726
105,  1,-0.002964568970
106,  1,-0.001295991451
107,  1, 0.003084881405
108,  1,-0.000750424649
109,  1, 0.000310144201
110,  1, 0.000648830001
111,  1,-0.006727743020
112,  1, 0.007999091295
113,  1,-0.000403853540
114,  1,-0.002367000737
115,  1, 0.000841871019
116,  1,-0.007223838863
117,  1,-0.005023291198
118,  1, 0.005445239565
119,  1,-0.004788787752
120,  1, 0.008889288421
121,  1, 0.000348525731
122,  1, 0.004249101449
123,  1,-0.004605962619
124,  1,-0.000888079597
125,  1,-0.004798759476
126,  1,-0.002320728005
127,  1, 0.008979236163
128,  1,-0.007252403670
129,  1,-0.001847005194
130,  1, 0.002599898884
131,  1,-0.005694988836
132,  1,-0.002619335336
133,  1,-0.005763822103
134,  1, 0.007515105846
135,  1, 0.001475017936
136,  1, 0.000877560836
137,  1,-0.007868427251
138,  1,-0.003009154590
139,  1, 0.005646316054
140,  1, 0.001092586529
141,  1,-0.006115172056
142,  1, 0.001431170789
143,  1, 0.005114241130
144,  1, 0.000642146474
145,  1,-0.002648916189
146,  1, 0.004841694052
147,  1, 0.005238200672
148,  1, 0.001616918822
149,  1, 0.005542928703
150,  1, 0.005000057924
  1,  2, 0.135056796424
  2,  2, 0.141278919391
  3,  2, 0.134618295309
  4,  2, 0.120933090825
  5,  2, 0.121928956340
  6,  2, 0.106021087388
  7,  2, 0.118988357961
  8,  2, 0.118792518854
  9,  2, 0.092987448302
 10,  2, 0.093838866703
 11,  2, 0.102683337471
 12,  2, 0.105583868967
 13,  2, 0.079635900560
 14,  2, 0.072913153601
 15,  2, 0.083414294072
 16,  2, 0.074351789432
 17,  2, 0.086299735750
 18,  2, 0.059999914281
 19,  2, 0.052924225196
 20,  2, 0.082007920931
 21,  2, 0.077334375359
 22,  2, 0.068842974684
 23,  2, 0.061715888289
 24,  2, 0.066188876984
 25,  2, 0.041623235372
 26,  2, 0.062041143577
 27,  2, 0.065926166647
 28,  2, 0.050280777320
 29,  2, 0.059546974297
 30,  2, 0.038973759031
 31,  2, 0.039794403535
 32,  2, 0.050318289118
 33,  2, 0.031365465051
 34,  2, 0.028681320523
 35,  2, 0.041869153153
 36,  2, 0.027335924803
 37,  2, 0.035903412071
 38,  2, 0.028399600775
 39,  2, 0.015198646623
 40,  2, 0.023986200990
 41,  2, 0.021413494627
 42,  2, 0.020694044629
 43,  2, 0.007717661701
 44,  2, 0.008004437411
 45,  2, 0.010742914040
 46,  2, 0.011620442095
 47,  2, 0.006852722919
 48,  2, 0.008941550094
 49,  2, 0.014997961267
 50,  2, 0.013966797503
 51,  2, 0.009536701069
 52,  2, 0.013062275491
 53,  2, 0.012169976327
 54,  2, 0.007284122495
 55,  2, 0.011588824369
 56,  2, 0.014823250977
 57,  2, 0.012890242524
 58,  2, 0.014982802473
 59,  2, 0.015017817332
 60,  2, 0.008764170884
 61,  2, 0.013093664751
 62,  2, 0.014045572194
 63,  2, 0.016441509080
 64,  2, 0.008588483188
 65,  2, 0.013556125143
 66,  2, 0.014087509006
 67,  2, 0.007526509421
 68,  2, 0.010380075927
 69,  2, 0.011887385169
 70,  2, 0.010097699354
 71,  2, 0.006036906736
 72,  2, 0.010036424382
 73,  2, 0.007116655961
 74,  2, 0.011631866143
 75,  2, 0.007782328727
 76,  2, 0.004420947432
 77,  2, 0.006700520555
 78,  2, 0.006679913785
 79,  2, 0.004719901625
 80,  2, 0.005128503644
 81,  2, 0.002778092925
 82,  2, 0.005871837476
 83,  2, 0.004854587876
 84,  2, 0.001987588050
 85,  2,-0.001889623333
 86,  2,-0.000809947217
 87,  2, 0.004244477491
 88,  2,-0.001923048645
 89,  2, 0.004425596702
 90,  2,-0.001320590050
 91,  2,-0.000704427962
 92,  2, 0.005710750076
 93,  2, 0.000564065203
 94,  2, 0.000631401640
 95,  2,-0.000829343630
 96,  2,-0.000825228802
 97,  2,-0.001916637373
 98,  2,-0.001997137921
