zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered
1,2000,6.7,133,66.6,66.6,0.666,0.641,40,83,40
4,1000,3.3,67,68.5,68.5,0.647,0.647,20,21,21
5,1500,5,100,66.2,66.2,0.665,0.665,30,39,39
9,2000,6.7,133,70.1,70.1,0.688,0.688,40,40,40
14,2000,6.7,133,70.1,70,0.674,0.674,40,42,42
18,1000,3.3,67,70.1,70.1,0.693,0.694,20,23,23
19,6000,20,400,70.3,70.3,0.681,0.681,120,122,122
25,3500,11.7,233,67.8,67.8,0.662,0.662,70,70,70
38,1500,5,100,63.1,63.1,0.649,0.648,30,36,32
41,4500,15,300,63.3,63.3,0.65,0.65,90,131,131
106,1500,5,100,57.3,57.2,0.641,0.635,30,125,50
145,3500,11.7,233,58.5,58.4,0.643,0.637,70,172,71
