zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,WPSS_fish_selected,WPSS_fish_outline,WPSS_ecol_selected,WPSS_ecol_outline,WPSS_inv_selected,WPSS_inv_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered,n_cells_outline_WPSSfilteredAll
1,1500,5,100,66.7,66.7,0.667,0.649,0.795,0.745,0.835,0.789,0.648,0.636,30,49,31,30
5,2000,6.7,133,66.1,66.1,0.665,0.664,0.81,0.809,0.832,0.832,0.645,0.645,40,45,45,45
9,3000,10,200,70,70,0.689,0.689,0.804,0.804,0.847,0.847,0.677,0.677,60,60,60,60
14,2000,6.7,133,70,70,0.678,0.676,0.756,0.747,0.833,0.83,0.672,0.671,40,44,40,23
18,2000,6.7,133,70.1,70,0.694,0.695,0.813,0.814,0.85,0.851,0.682,0.682,40,46,46,45
19,6000,20,400,70.3,70.3,0.682,0.682,0.776,0.775,0.838,0.838,0.675,0.675,120,121,120,94
25,3000,10,200,67.7,67.7,0.67,0.662,0.741,0.715,0.821,0.813,0.669,0.664,60,87,60,14
36,1000,3.3,67,63,63,0.629,0.629,0.81,0.81,0.819,0.819,0.592,0.592,20,22,22,0
38,1000,3.3,67,62.9,63,0.651,0.65,0.776,0.772,0.812,0.808,0.63,0.631,20,30,20,13
41,3500,11.7,233,63.3,63.3,0.65,0.65,0.779,0.78,0.813,0.814,0.628,0.628,70,112,110,98
148,1000,3.3,67,60.6,60.6,0.62,0.616,0.806,0.789,0.812,0.808,0.584,0.581,20,32,20,0
149,1000,3.3,67,61,61,0.607,0.607,0.801,0.799,0.808,0.807,0.568,0.568,20,21,20,0
150,3000,10,200,61.1,61.1,0.609,0.608,0.802,0.796,0.808,0.807,0.571,0.57,60,82,71,0
