zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,WPSS_fish_selected,WPSS_fish_outline,WPSS_ecol_selected,WPSS_ecol_outline,WPSS_inv_selected,WPSS_inv_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered,n_cells_outline_WPSSfilteredAll
1,1500,5,100,66.7,66.7,0.668,0.655,0.798,0.762,0.835,0.802,0.648,0.64,30,41,30,30
5,2000,6.7,133,66.1,66.1,0.665,0.664,0.81,0.809,0.832,0.832,0.645,0.645,40,45,45,45
9,2500,8.3,167,70.1,70.1,0.688,0.688,0.801,0.801,0.847,0.847,0.676,0.676,50,50,50,50
14,2000,6.7,133,69.9,69.9,0.69,0.688,0.791,0.786,0.845,0.844,0.679,0.678,40,46,41,41
18,4000,13.3,267,70,70,0.694,0.694,0.813,0.813,0.85,0.851,0.681,0.681,80,83,83,83
19,4500,15,300,70.3,70.3,0.686,0.685,0.787,0.785,0.842,0.842,0.677,0.677,90,95,90,90
25,1000,3.3,67,67.3,67.4,0.681,0.664,0.784,0.716,0.829,0.816,0.677,0.666,20,78,20,20
31,1000,3.3,67,64.6,64.7,0.677,0.666,0.774,0.737,0.829,0.816,0.674,0.667,20,53,20,20
36,1000,3.3,67,63,63,0.629,0.629,0.81,0.81,0.819,0.819,0.592,0.592,20,22,22,0
38,1000,3.3,67,63,63,0.653,0.65,0.779,0.771,0.807,0.804,0.634,0.632,20,29,20,8
41,3500,11.7,233,63.3,63.3,0.652,0.65,0.783,0.78,0.814,0.814,0.629,0.629,70,116,105,104
93,1000,3.3,67,58,58,0.595,0.595,0.794,0.792,0.799,0.799,0.555,0.555,20,31,30,0
148,1000,3.3,67,60.6,60.6,0.62,0.616,0.806,0.789,0.812,0.808,0.584,0.581,20,32,20,0
149,1000,3.3,67,61,61,0.607,0.607,0.801,0.799,0.808,0.807,0.568,0.568,20,21,20,0
150,3000,10,200,61.1,61.1,0.609,0.608,0.802,0.796,0.808,0.807,0.57,0.57,60,82,72,0
