zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,WPSS_fish_selected,WPSS_fish_outline,WPSS_ecol_selected,WPSS_ecol_outline,WPSS_inv_selected,WPSS_inv_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered,n_cells_outline_WPSSfilteredAll
1,3500,11.7,233,66.5,66.5,0.665,0.644,0.804,0.743,0.835,0.781,0.644,0.631,70,127,73,73
5,1500,5,100,66.2,66.2,0.665,0.665,0.809,0.81,0.832,0.832,0.645,0.645,30,39,39,39
14,1000,3.3,67,70.1,70.1,0.686,0.686,0.782,0.782,0.842,0.842,0.677,0.677,20,20,20,20
16,1000,3.3,67,68.8,68.8,0.692,0.692,0.797,0.797,0.845,0.845,0.679,0.679,20,20,20,20
18,1000,3.3,67,70.1,70.1,0.693,0.694,0.805,0.808,0.849,0.85,0.681,0.682,20,23,23,23
19,4500,15,300,70.3,70.3,0.686,0.685,0.787,0.785,0.842,0.842,0.677,0.677,90,95,95,90
25,1500,5,100,66.9,66.9,0.68,0.664,0.782,0.721,0.826,0.814,0.676,0.666,30,119,119,30
31,1000,3.3,67,64.6,64.7,0.677,0.666,0.774,0.737,0.829,0.816,0.674,0.667,20,53,53,20
33,1000,3.3,67,63.3,63.3,0.647,0.646,0.779,0.779,0.813,0.813,0.623,0.623,20,25,24,24
38,1000,3.3,67,62.7,62.7,0.653,0.648,0.784,0.769,0.813,0.808,0.631,0.628,20,60,60,20
41,4000,13.3,267,63.3,63.3,0.652,0.65,0.784,0.779,0.815,0.813,0.629,0.629,80,123,123,109
65,1000,3.3,67,53.4,53.3,0.649,0.638,0.807,0.767,0.811,0.801,0.623,0.616,20,129,45,20
98,1000,3.3,67,55.9,55.9,0.651,0.645,0.81,0.786,0.813,0.808,0.622,0.618,20,44,41,20
104,1500,5,100,55.7,55.7,0.654,0.646,0.81,0.777,0.814,0.806,0.626,0.621,30,113,103,31
116,1000,3.3,67,55.5,55.5,0.66,0.652,0.779,0.76,0.816,0.807,0.639,0.634,20,54,52,24
131,2000,6.7,133,56.8,56.8,0.649,0.649,0.777,0.774,0.815,0.814,0.623,0.623,40,50,49,46
137,1000,3.3,67,55.5,55.9,0.653,0.642,0.773,0.736,0.812,0.803,0.633,0.624,20,83,56,20
138,1500,5,100,56.6,56.8,0.649,0.645,0.776,0.765,0.814,0.812,0.622,0.619,30,66,52,31
