maxfarms,p,Solve_Status,Best_Objective,Best_Bound,Gap
0,0,Optimal,0.0307,0.0307,0
0,0,Optimal,-0.6996,-0.6996,4e-4
20,0.05,Optimal,0.0685,0.0685,0
20,0.1,Optimal,0.1129,0.1129,0.0093
20,0.15,Optimal,0.156,0.156,0.008
20,0.2,Time limit reached,0.1982,0.1982,0.0255
20,0.25,Time limit reached,0.234,0.234,0.0365
20,0.3,Time limit reached,0.2608,0.2607,0.0335
20,0.35,Time limit reached,0.2794,0.2794,0.0216
20,0.4,Time limit reached,0.289,0.2889,0.0324
20,0.45,Time limit reached,0.2916,0.2914,0.0687
20,0.5,Time limit reached,0.2874,0.2873,0.0336
20,0.55,Time limit reached,0.2782,0.278,0.0945
20,0.6,Time limit reached,0.2645,0.264,0.1553
20,0.65,Time limit reached,0.2458,0.2452,0.2574
20,0.7,Time limit reached,0.2221,0.2216,0.2442
20,0.75,Time limit reached,0.1947,0.1941,0.3537
20,0.8,Time limit reached,0.1639,0.1633,0.3798
20,0.85,Time limit reached,0.1302,0.1295,0.5802
20,0.9,Time limit reached,0.0925,0.0918,0.7936
20,0.95,Time limit reached,0.0504,0.0497,1.4078
